y,Continent,Sub_cont
640,AF,AF
632,AF,AF
604,AF,AF
610,AF,AF
617,AF,AF
620,AF,AF
639,AF,AF
601,AF,AF
642,AF,AF
641,AF,AF
649,AF,AF
645,AF,AF
651,AF,AF
679,AF,AF
101,AF,AF
701,AF,AF
590,AF,AF
592,AF,AF
653,AF,AF
680,AF,AF
668,AF,AF
582,AF,AF
719,AF,AF
608,AF,AF
595,AF,AF
578,AF,AF
584,AF,AF
598,AF,AF
605,AF,AF
674,AF,AF
571,AF,AF
106,AF,AF
38,AF,AF
85,AF,AF
58,AF,AF
682,AF,AF
624,AF,AF
538,AF,AF
520,AF,AF
60,AF,AF
132,AF,AF
152,AF,AF
630,AF,AF
633,AF,AF
619,AF,AF
672,AF,AF
536,AF,AF
500,AF,AF
511,AF,AF
522,AF,AF
530,AF,AF
541,AF,AF
545,AF,AF
184,AF,AF
189,AF,AF
194,AF,AF
204,AF,AF
700,AF,AF
110,AF,AF
118,AF,AF
593,AF,AF
596,AF,AF
603,AF,AF
600,AF,AF
583,AF,AF
587,AF,AF
529,AF,AF
567,AF,AF
559,AF,AF
499,AF,AF
186,AF,AF
178,AF,AF
300,AF,AF
236,AF,AF
205,AF,AF
379,AF,AF
629,AF,AF
622,AF,AF
378,AS,AS_CHN
354,AS,AS_CHN
328,AS,AS_CHN
334,AS,AS_CHN
318,AS,AS_CHN
458,AS,AS_CHN
238,AS,AS_CHN
229,AS,AS_CHN
894,AS,AS_CHN
945,AS,AS_CHN
919,AS,AS_CHN
842,AS,AS_CHN
849,AS,AS_CHN
898,AS,AS_CHN
874,AS,AS_CHN
910,AS,AS_CHN
895,AS,AS_CHN
921,AS,AS_CHN
911,AS,AS_CHN
900,AS,AS_CHN
924,AS,AS_CHN
124,AS,AS_CHN
335,AS,AS_CHN
295,AS,AS_CHN
310,AS,AS_CHN
313,AS,AS_CHN
319,AS,AS_CHN
406,AS,AS_CHN
425,AS,AS_CHN
417,AS,AS_CHN
412,AS,AS_CHN
385,AS,AS_CHN
399,AS,AS_CHN
394,AS,AS_CHN
420,AS,AS_CHN
426,AS,AS_CHN
431,AS,AS_CHN
413,AS,AS_CHN
402,AS,AS_CHN
254,AS,AS_CHN
317,AS,AS_CHN
279,AS,AS_CHN
329,AS,AS_CHN
228,AS,AS_CHN
303,AS,AS_CHN
283,AS,AS_CHN
345,AS,AS_CHN
305,AS,AS_CHN
388,AS,AS_CHN
369,AS,AS_CHN
253,AS,AS_CHN
315,AS,AS_CHN
292,AS,AS_CHN
293,AS,AS_CHN
261,AS,AS_CHN
270,AS,AS_CHN
276,AS,AS_CHN
371,AS,AS_CHN
291,AS,AS_CHN
374,AS,AS_CHN
263,AS,AS_CHN
309,AS,AS_CHN
232,AS,AS_CHN
294,AS,AS_CHN
342,AS,AS_CHN
256,AS,AS_CHN
230,AS,AS_CHN
360,AS,AS_CHN
299,AS,AS_CHN
242,AS,AS_CHN
269,AS,AS_CHN
290,AS,AS_CHN
392,AS,AS_CHN
286,AS,AS_CHN
377,AS,AS_CHN
376,AS,AS_CHN
252,AS,AS_CHN
268,AS,AS_CHN
259,AS,AS_CHN
314,AS,AS_CHN
260,AS,AS_CHN
368,AS,AS_CHN
235,AS,AS_CHN
285,AS,AS_CHN
325,AS,AS_CHN
234,AS,AS_CHN
159,AS,AS_CHN
170,AS,AS_CHN
162,AS,AS_CHN
203,AS,AS_CHN
176,AS,AS_CHN
188,AS,AS_CHN
277,AS,AS_CHN
302,AS,AS_CHN
251,AS,AS_CHN
255,AS,AS_CHN
288,AS,AS_CHN
289,AS,AS_CHN
280,AS,AS_CHN
208,AS,AS_CHN
187,AS,AS_CHN
241,AS,AS_CHN
226,AS,AS_CHN
430,AS,AS_CHN
435,AS,AS_CHN
434,AS,AS_CHN
436,AS,AS_CHN
418,AS,AS_CHN
219,AS,AS_CHN
312,AS,AS_CHN
221,AS,AS_CHN
361,AS,AS_CHN
349,AS,AS_CHN
372,AS,AS_CHN
166,AS,AS_CHN
198,AS,AS_CHN
272,AS,AS_CHN
237,AS,AS_CHN
353,AS,AS_CHN
350,AS,AS_CHN
351,AS,AS_CHN
339,AS,AS_CHN
298,AS,AS_CHN
386,AS,AS_CHN
373,AS,AS_CHN
134,AS,AS_CHN
826,AS,AS_CHN
810,AS,AS_CHN
922,AS,AS_CHN
936,AS,AS_CHN
852,AS,AS_CHN
28,AS,AS_CHN
47,AS,AS_CHN
925,AS,AS_CHN
962,AS,AS_CHN
976,AS,AS_CHN
955,AS,AS_CHN
972,AS,AS_CHN
401,AS,AS_CHN
395,AS,AS_CHN
411,AS,AS_CHN
404,AS,AS_CHN
410,AS,AS_CHN
429,AS,AS_CHN
366,AS,AS_CHN
415,AS,AS_CHN
440,AS,AS_CHN
416,AS,AS_CHN
271,AS,AS_CHN
856,AS,AS_CHN
886,AS,AS_CHN
835,AS,AS_CHN
855,AS,AS_CHN
876,AS,AS_CHN
5,AS,AS_CHN
830,AS,AS_CHN
990,AS,AS_CHN
973,AS,AS_CHN
827,AS,AS_CHN
905,AS,AS_CHN
993,AS,AS_CHN
916,AS,AS_CHN
45,AS,AS_CHN
913,AS,AS_CHN
888,AS,AS_CHN
860,AS,AS_CHN
25,AS,AS_CHN
934,AS,AS_CHN
177,AS,AS_CHN
33,AS,AS_CHN
44,AS,AS_CHN
963,AS,AS_CHN
95,AS,AS_CHN
128,AS,AS_CHN
980,AS,AS_CHN
111,AS,AS_CHN
978,AS,AS_CHN
171,AS,AS_CHN
20,AS,AS_CHN
169,AS,AS_CHN
172,AS,AS_CHN
148,AS,AS_CHN
156,AS,AS_CHN
179,AS,AS_CHN
135,AS,AS_CHN
8,AS,AS_CHN
129,AS,AS_CHN
127,AS,AS_CHN
34,AS,AS_CHN
131,AS,AS_CHN
80,AS,AS_CHN
211,AS,AS_CHN
161,AS,AS_CHN
206,AS,AS_CHN
201,AS,AS_CHN
26,AS,AS_CHN
57,AS,AS_CHN
167,AS,AS_CHN
970,AS,AS_CHN
992,AS,AS_CHN
70,AS,AS_CHN
115,AS,AS_CHN
108,AS,AS_CHN
136,AS,AS_CHN
63,AS,AS_CHN
192,AS,AS_CHN
29,AS,AS_CHN
163,AS,AS_CHN
39,AS,AS_CHN
196,AS,AS_CHN
155,AS,AS_CHN
64,AS,AS_CHN
41,AS,AS_CHN
17,AS,AS_CHN
16,AS,AS_CHN
952,AS,AS_CHN
88,AS,AS_CHN
32,AS,AS_CHN
19,AS,AS_CHN
77,AS,AS_CHN
174,AS,AS_CHN
117,AS,AS_CHN
87,AS,AS_CHN
181,AS,AS_CHN
173,AS,AS_CHN
154,AS,AS_CHN
125,AS,AS_CHN
112,AS,AS_CHN
197,AS,AS_CHN
97,AS,AS_CHN
56,AS,AS_CHN
59,AS,AS_CHN
966,AS,AS_CHN
144,AS,AS_CHN
938,AS,AS_CHN
79,AS,AS_CHN
191,AS,AS_CHN
981,AS,AS_CHN
18,AS,AS_CHN
210,AS,AS_CHN
168,AS,AS_CHN
109,AS,AS_CHN
114,AS,AS_CHN
182,AS,AS_CHN
150,AS,AS_CHN
142,AS,AS_CHN
958,AS,AS_CHN
199,AS,AS_CHN
89,AS,AS_CHN
78,AS,AS_CHN
202,AS,AS_CHN
91,AS,AS_CHN
212,AS,AS_CHN
153,AS,AS_CHN
217,AS,AS_CHN
96,AS,AS_CHN
190,AS,AS_CHN
126,AS,AS_CHN
100,AS,AS_CHN
68,AS,AS_CHN
151,AS,AS_CHN
93,AS,AS_CHN
92,AS,AS_CHN
960,AS,AS_CHN
102,AS,AS_CHN
121,AS,AS_CHN
145,AS,AS_CHN
82,AS,AS_CHN
175,AS,AS_CHN
107,AS,AS_CHN
75,AS,AS_CHN
165,AS,AS_CHN
149,AS,AS_CHN
180,AS,AS_CHN
113,AS,AS_CHN
49,AS,AS_CHN
953,AS,AS_CHN
31,AS,AS_CHN
207,AS,AS_CHN
200,AS,AS_CHN
246,AS,AS_CHN
225,AS,AS_CHN
183,AS,AS_CHN
227,AS,AS_CHN
215,AS,AS_CHN
218,AS,AS_CHN
248,AS,AS_CHN
258,AS,AS_CHN
267,AS,AS_CHN
195,AS,AS_CHN
240,AS,AS_CHN
213,AS,AS_CHN
193,AS,AS_CHN
266,AS,AS_CHN
250,AS,AS_CHN
249,AS,AS_CHN
224,AS,AS_CHN
834,AS,AS_CHN
811,AS,AS_CHN
820,AS,AS_CHN
7,AS,AS_CHN
11,AS,AS_CHN
61,AS,AS_CHN
836,AS,AS_CHN
946,AS,AS_CHN
327,AS,AS_CHN
216,AS,AS_CHN
540,AS,AS_IND
572,AS,AS_IND
566,AS,AS_IND
553,AS,AS_IND
525,AS,AS_IND
456,AS,AS_IND
485,AS,AS_IND
550,AS,AS_IND
551,AS,AS_IND
422,AS,AS_IND
364,AS,AS_IND
247,AS,AS_IND
321,AS,AS_IND
304,AS,AS_IND
296,AS,AS_IND
338,AS,AS_IND
457,AS,AS_IND
428,AS,AS_IND
439,AS,AS_IND
562,AS,AS_IND
337,AS,AS_IND
438,AS,AS_IND
383,AS,AS_IND
284,AS,AS_IND
341,AS,AS_IND
380,AS,AS_IND
273,AS,AS_IND
340,AS,AS_IND
344,AS,AS_IND
322,AS,AS_IND
365,AS,AS_IND
352,AS,AS_IND
297,AS,AS_IND
301,AS,AS_IND
307,AS,AS_IND
407,AS,AS_IND
265,AS,AS_IND
316,AS,AS_IND
419,AS,AS_IND
424,AS,AS_IND
306,AS,AS_IND
326,AS,AS_IND
257,AS,AS_IND
262,AS,AS_IND
468,AS,AS_IND
245,AS,AS_IND
323,AS,AS_IND
445,AS,AS_IND
473,AS,AS_IND
331,AS,AS_IND
264,AS,AS_IND
396,AS,AS_IND
287,AS,AS_IND
514,AS,AS_IND
557,AS,AS_IND
347,AS,AS_IND
343,AS,AS_IND
403,AS,AS_IND
390,AS,AS_IND
397,AS,AS_IND
346,AS,AS_IND
459,AS,AS_IND
384,AS,AS_IND
391,AS,AS_IND
543,AS,AS_IND
358,AS,AS_IND
526,AS,AS_IND
483,AS,AS_IND
442,AS,AS_IND
409,AS,AS_IND
508,AS,AS_IND
472,AS,AS_IND
547,AS,AS_IND
484,AS,AS_IND
451,AS,AS_IND
466,AS,AS_IND
539,AS,AS_IND
389,AS,AS_IND
441,AS,AS_IND
549,AS,AS_IND
574,AS,AS_IND
544,AS,AS_IND
421,AS,AS_IND
492,AS,AS_IND
400,AS,AS_IND
348,AS,AS_IND
367,AS,AS_IND
398,AS,AS_IND
104,AS,AS_IND
274,AS,AS_IND
509,AS,AS_IND
523,AS,AS_IND
433,AS,AS_IND
448,AS,AS_IND
495,AS,AS_IND
497,AS,AS_IND
507,AS,AS_IND
524,AS,AS_IND
490,AS,AS_IND
460,AS,AS_IND
487,AS,AS_IND
491,AS,AS_IND
333,AS,AS_SE
659,AS,AS_SE
446,AS,AS_SE
359,AS,AS_SE
447,AS,AS_SE
470,AS,AS_SE
859,AS,AS_SE
480,AS,AS_SE
802,AS,AS_SE
527,AS,AS_SE
611,AS,AS_SE
561,AS,AS_SE
53,AS,AS_SE
23,AS,AS_SE
570,AS,AS_SE
586,AS,AS_SE
21,AS,AS_SE
602,AS,AS_SE
597,AS,AS_SE
560,AS,AS_SE
599,AS,AS_SE
461,AS,AS_SE
122,AS,AS_SE
393,AS,AS_SE
24,AS,AS_SE
30,AS,AS_SE
71,AS,AS_SE
13,AS,AS_SE
40,AS,AS_SE
519,AS,AS_SE
36,AS,AS_SE
54,AS,AS_SE
9,AS,AS_SE
655,AS,AS_SE
43,AS,AS_SE
941,AS,AS_SE
48,AS,AS_SE
14,AS,AS_SE
123,AS,AS_SE
589,AS,AS_SE
552,AS,AS_SE
516,AS,AS_SE
504,AS,AS_SE
427,AS,AS_SE
86,AS,AS_SE
90,AS,AS_SE
897,AS,AS_SE
623,AS,AS_SE
513,AS,AS_SE
493,AS,AS_SE
528,AS,AS_SE
512,AS,AS_SE
518,AS,AS_SE
488,AS,AS_SE
658,AS,AS_SE
628,AS,AS_SE
133,AS,AS_SE
408,AS,AS_SE
654,AS,AS_SE
475,AS,AS_SE
482,AS,AS_SE
405,AS,AS_SE
638,AS,AS_SE
577,AS,AS_SE
618,AS,AS_SE
534,AS,AS_SE
99,AS,AS_SE
625,AS,AS_SE
989,AS,AS_SE
370,AS,AS_SE
355,AS,AS_SE
542,AS,AS_SE
656,AS,AS_SE
635,AS,AS_SE
98,AS,AS_SE
872,AS,AS_SE
73,AS,AS_SE
944,AS,AS_SE
160,AS,AS_SE
517,AS,AS_SE
363,AS,AS_SE
744,AS,AS_W
494,AS,AS_SE
644,AS,AS_W
432,AS,AS_SE
594,AS,AS_SE
502,AS,AS_SE
506,AS,AS_SE
614,AS,AS_SE
510,AS,AS_SE
414,AS,AS_W
956,AS,AS_SE
959,AS,AS_SE
935,AS,AS_W
579,AS,AS_SE
505,AS,AS_SE
616,AS,AS_SE
692,EU,AS_W
15,AS,AS_W
382,EU,AS_W
443,EU,AS_W
381,EU,AS_W
356,AS,AS_W
844,EU,AS_W
27,AS,AS_W
968,AS,AS_W
362,AS,AS_W
675,AS,AS_W
437,EU,AS_W
797,AS,AS_W
741,AS,AS_W
736,AS,AS_W
498,EU,AS_W
503,AS,AS_W
1000,AS,AS_CHN
67,AS,AS_W
311,AS,AS_W
233,EU,AS_W
243,EU,AS_W
278,EU,AS_W
308,EU,AS_W
462,AS,AS_W
964,AS,AS_W
943,AS,AS_W
51,AS,AS_W
969,AS,AS_W
37,AS,AS_W
3,AS,AS_W
62,AS,AS_W
130,AS,AS_W
158,AS,AS_W
72,AS,AS_W
546,EU,AS_W
185,AS,AS_W
387,AS,AS_W
521,AS,AS_W
901,AS,AS_W
920,AS,AS_W
884,AS,AS_W
939,AS,AS_W
988,AS,AS_W
985,AS,AS_W
4,AS,AS_W
735,AS,AS_W
771,AS,AS_W
781,AS,AS_W
22,AS,AS_W
984,AS,AS_W
790,EU,AS_W
793,EU,AS_W
967,AS,AS_W
147,AS,AS_W
923,AS,AS_W
42,AS,AS_W
83,AS,AS_W
139,AS,AS_W
137,AS,AS_W
239,AS,AS_W
768,EU,AS_W
444,EU,AS_W
556,EU,AS_W
476,EU,AS_W
746,EU,AS_W
730,EU,AS_W
481,EU,AS_W
728,EU,AS_W
697,EU,AS_W
563,EU,AS_W
702,EU,AS_W
609,EU,AS_W
591,EU,AS_W
747,EU,AS_W
947,AS,AS_W
977,AS,AS_W
991,AS,AS_W
65,AS,AS_W
164,AS,AS_W
532,AS,AS_W
683,AS,AS_W
757,AS,AS_W
775,AS,AS_W
779,AS,AS_W
745,EU,AS_W
750,EU,AS_W
812,EU,AS_W
873,EU,AS_W
942,AS,AS_W
569,EU,AS_W
116,AS,AS_W
554,EU,AS_W
332,EU,AS_W
496,AS,AS_W
868,EU,AS_W
607,EU,AS_W
825,EU,EU
831,EU,EU
843,EU,EU
837,EU,EU
143,AS,AS_W
209,AS,AS_W
531,AS,AS_W
,AS,AS_W
627,EU,EU
450,NA,CA
648,EU,EU
801,EU,EU
555,EU,EU
465,NA,CA
732,EU,EU
324,NA,CA
740,EU,EU
454,NA,CA
330,NA,CA
477,NA,CA
773,EU,EU
469,NA,CA
453,NA,CA
778,EU,EU
474,NA,CA
423,NA,CA
479,NA,CA
489,NA,CA
455,NA,CA
449,NA,CA
881,EU,EU
818,EU,EU
515,EU,EU
809,EU,EU
670,EU,EU
823,EU,EU
738,EU,EU
866,EU,EU
848,EU,EU
829,EU,EU
828,EU,EU
799,EU,EU
915,EU,EU
851,EU,EU
853,EU,EU
861,EU,EU
893,EU,EU
751,EU,EU
684,EU,EU
471,EU,EU
748,EU,EU
806,EU,EU
643,EU,EU
798,EU,EU
533,EU,EU
375,EU,EU
535,EU,EU
568,EU,EU
764,EU,EU
763,EU,EU
767,EU,EU
787,EU,EU
710,EU,EU
821,EU,EU
761,EU,EU
776,EU,EU
585,EU,EU
731,EU,EU
652,EU,EU
666,EU,EU
814,EU,EU
780,EU,EU
777,EU,EU
832,EU,EU
752,EU,EU
755,EU,EU
637,EU,EU
784,EU,EU
734,EU,EU
729,EU,EU
749,EU,EU
857,EU,EU
786,EU,EU
742,EU,EU
759,EU,EU
862,EU,EU
845,EU,EU
807,EU,EU
890,EU,EU
817,EU,EU
833,EU,EU
864,EU,EU
737,EU,EU
758,EU,EU
903,EU,EU
765,EU,EU
896,EU,EU
720,EU,EU
10,EU,EU
770,EU,EU
769,EU,EU
772,EU,EU
756,EU,EU
754,EU,EU
760,EU,EU
733,EU,EU
789,EU,EU
792,EU,EU
501,NA,CA
766,EU,EU
753,EU,EU
357,NA,CA
783,EU,EU
463,NA,CA
467,NA,CA
743,EU,EU
785,EU,EU
486,NA,CA
794,EU,EU
791,EU,EU
808,EU,EU
452,NA,CA
774,EU,EU
850,EU,EU
847,EU,EU
478,NA,CA
838,EU,EU
464,NA,CA
795,EU,EU
796,EU,EU
803,EU,EU
537,NA,CA
804,EU,EU
815,EU,EU
819,EU,EU
824,EU,EU
930,EU,EU
904,EU,EU
841,NA,NA
926,NA,NA
858,EU,EU
883,EU,EU
954,EU,EU
983,EU,EU
932,NA,NA
987,EU,EU
800,EU,EU
813,EU,EU
105,NA,NA
882,NA,NA
899,NA,NA
788,NA,NA
891,NA,NA
867,NA,NA
869,NA,NA
975,NA,NA
914,NA,NA
879,NA,NA
244,NA,NA
937,NA,NA
950,NA,NA
929,NA,NA
906,NA,NA
933,NA,NA
918,NA,NA
957,NA,NA
84,NA,NA
46,NA,NA
762,NA,NA
157,NA,NA
231,NA,NA
35,NA,NA
805,NA,NA
840,NA,NA
816,NA,NA
103,NA,NA
2,NA,NA
140,NA,NA
839,NA,NA
822,NA,NA
52,NA,NA
982,NA,NA
986,NA,NA
220,NA,NA
275,NA,NA
146,NA,NA
214,NA,NA
12,NA,NA
974,NA,NA
965,NA,NA
120,NA,NA
141,NA,NA
94,NA,NA
119,NA,NA
931,NA,NA
951,NA,NA
320,NA,NA
138,NA,NA
6,NA,NA
222,NA,NA
863,NA,NA
927,NA,NA
69,NA,NA
875,NA,NA
1,NA,NA
66,NA,NA
887,NA,NA
878,NA,NA
949,NA,NA
81,NA,NA
223,NA,NA
871,NA,NA
671,NA,NA
880,NA,NA
846,NA,NA
865,NA,NA
940,NA,NA
948,NA,NA
917,NA,NA
739,NA,NA
902,NA,NA
782,NA,NA
979,NA,NA
885,NA,NA
908,NA,NA
961,NA,NA
971,NA,NA
870,NA,NA
889,NA,NA
282,NA,NA
892,NA,NA
907,NA,NA
912,NA,NA
724,OC,AS_SE
717,OC,AS_SE
50,NA,NA
55,NA,NA
74,NA,NA
76,NA,NA
281,NA,NA
708,OC,AS_SE
336,NA,NA
877,NA,NA
854,NA,NA
909,NA,NA
716,OC,AS_SE
928,NA,NA
634,SA,SA
705,SA,SA
576,SA,SA
621,SA,SA
636,SA,SA
662,SA,SA
665,SA,SA
558,SA,SA
703,SA,SA
706,SA,SA
709,SA,SA
725,SA,SA
723,SA,SA
711,SA,SA
669,SA,SA
677,SA,SA
678,SA,SA
647,SA,SA
715,SA,SA
580,SA,SA
615,SA,SA
564,SA,SA
721,SA,SA
726,SA,SA
727,SA,SA
722,SA,SA
696,SA,SA
694,SA,SA
698,SA,SA
714,SA,SA
606,SA,SA
687,SA,SA
689,SA,SA
695,SA,SA
693,SA,SA
548,SA,SA
573,SA,SA
626,SA,SA
646,SA,SA
676,SA,SA
681,SA,SA
685,SA,SA
673,SA,SA
713,SA,SA
718,SA,SA
613,SA,SA
612,SA,SA
661,SA,SA
699,SA,SA
704,SA,SA
712,SA,SA
588,SA,SA
581,SA,SA
657,SA,SA
664,SA,SA
660,SA,SA
667,SA,SA
631,SA,SA
686,SA,SA
691,SA,SA
690,SA,SA
688,SA,SA
650,SA,SA
575,SA,SA
663,SA,SA
565,SA,SA
707,SA,SA
